index,c,v,t,query
905,63,6,"When I remember thee upon my bed, and meditate on thee in the night watches.",What might one reflect on when seeking comfort in challenging times?
911,64,1,"Hear my voice, O God, in my prayer: preserve my life from fear of the enemy.",What concerns might someone have about their personal safety when faced with threats from others?
912,64,2,Hide me from the secret counsel of the wicked; from the insurrection of the workers of iniquity:,How does one describe feelings of being targeted by others through words or actions?
915,64,5,"They encourage themselves in an evil matter: they commune of laying snares privily; they say, Who shall see them?",What behaviors do people who seek to deceive others often exhibit?
918,64,8,So they shall make their own tongue to fall upon themselves: all that see them shall flee away.,"What could happen to people who speak ill of others, according to some perspectives?"
929,65,9,"Thou visitest the earth, and waterest it: thou greatly enrichest it with the river of God, which is full of water: thou preparest them corn, when thou hast so provided for it.","How can natural phenomena, such as mountains or oceans, evoke a sense of power?"
932,65,12,They drop upon the pastures of the wilderness: and the little hills rejoice on every side.,"What are some ways in which the natural world provides for human needs, such as food?"
945,66,12,Thou hast caused men to ride over our heads; we went through fire and through water: but thou broughtest us out into a wealthy place.,How do some people interpret challenges as tests of their endurance or resilience?
949,66,16,"Come and hear, all ye that fear God, and I will declare what he hath done for my soul.",What might someone offer in gratitude after experiencing a significant personal challenge?
964,68,4,"Sing unto God, sing praises to his name: extol him that rideth upon the heavens by his name JAH, and rejoice before him.",What might cause a group of people to scatter or flee in fear?
966,68,6,God setteth the solitary in families: he bringeth out those which are bound with chains: but the rebellious dwell in a dry land.,"How can the natural world, such as weather patterns, symbolize power or transformation?"
969,68,9,"Thou, O God, didst send a plentiful rain, whereby thou didst confirm thine inheritance, when it was weary.","How do people sometimes celebrate important moments, especially with music and dance?"
996,69,1,"Save me, O God; for the waters are come in unto my soul.","What does it feel like to be overwhelmed, as though one is drowning emotionally?"
999,69,4,"They that hate me without a cause are more than the hairs of mine head: they that would destroy me, being mine enemies wrongfully, are mighty: then I restored that which I took not away.",How might one describe feeling unjustly hated or wronged by others?
1000,69,5,"O God, thou knowest my foolishness; and my sins are not hid from thee.",What is the impact of zeal and reproach on personal relationships?
1005,69,10,"When I wept, and chastened my soul with fasting, that was to my reproach.",How does the act of fasting relate to personal shame?
1009,69,14,"Deliver me out of the mire, and let me not sink: let me be delivered from them that hate me, and out of the deep waters.",What does it mean to feel abandoned by those around you?
1012,69,17,And hide not thy face from thy servant; for I am in trouble: hear me speedily.,How does one seek redemption in times of trouble?
1016,69,21,They gave me also gall for my meat; and in my thirst they gave me vinegar to drink.,What is the significance of humility in seeking help?
1019,69,24,"Pour out thine indignation upon them, and let thy wrathful anger take hold of them.",How can hope be sustained during challenging times?
1021,69,26,For they persecute him whom thou hast smitten; and they talk to the grief of those whom thou hast wounded.,What role does faith play in overcoming adversity?
1023,69,28,"Let them be blotted out of the book of the living, and not be written with the righteous.",How does one find strength through past experiences?
1025,69,30,"I will praise the name of God with a song, and will magnify him with thanksgiving.",What does it mean to continuously praise despite difficulties?
1062,72,2,"He shall judge thy people with righteousness, and thy poor with judgment.",How does leadership affect justice for the poor?
1065,72,5,"They shall fear thee as long as the sun and moon endure, throughout all generations.",What are the implications of righteousness in governance?
1070,72,10,The kings of Tarshish and of the isles shall bring presents: the kings of Sheba and Seba shall offer gifts.,How do natural phenomena symbolize peace in society?
1072,72,12,"For he shall deliver the needy when he crieth; the poor also, and him that hath no helper.",What does it mean for a ruler to protect the needy?
1102,73,22,"So foolish was I, and ignorant: I was as a beast before thee.",What can we learn about the fleeting nature of human achievements?
1103,73,23,Nevertheless I am continually with thee: thou hast holden me by my right hand.,How can we cope with feelings of grief and emotional turmoil?
1104,73,24,"Thou shalt guide me with thy counsel, and afterward receive me to glory.",What does it mean to rely on the support of others during difficult times?
1105,73,25,Whom have I in heaven but thee? and there is none upon earth that I desire beside thee.,How can guidance shape our future and decisions?
1106,73,26,"My flesh and my heart faileth: but God is the strength of my heart, and my portion for ever.",What is the significance of having a sense of desire or longing in our lives?
1107,73,27,"For, lo, they that are far from thee shall perish: thou hast destroyed all them that go a whoring from thee.",How can one find strength in times of weakness or hardship?
1108,73,28,"But it is good for me to draw near to God: I have put my trust in the Lord GOD, that I may declare all thy works.",What does it mean to be distanced from something you once valued?
1109,74,1,"O God, why hast thou cast us off for ever? why doth thine anger smoke against the sheep of thy pasture?",How does a feeling of abandonment affect one’s perception of support?
1110,74,2,"Remember thy congregation, which thou hast purchased of old; the rod of thine inheritance, which thou hast redeemed; this mount Zion, wherein thou hast dwelt.",What role does history play in shaping our understanding of our current circumstances?
1111,74,3,Lift up thy feet unto the perpetual desolations; even all that the enemy hath done wickedly in the sanctuary.,How do we reconcile past grievances with present realities?
1112,74,4,Thine enemies roar in the midst of thy congregations; they set up their ensigns for signs.,What implications does collective memory have for community identity?
1113,74,5,A man was famous according as he had lifted up axes upon the thick trees.,How can we address the challenges faced by our communities in times of conflict?
1114,74,6,But now they break down the carved work thereof at once with axes and hammers.,What do symbols and signs represent in our cultural narratives?
1115,74,7,"They have cast fire into thy sanctuary, they have defiled by casting down the dwelling place of thy name to the ground.",How do historical figures gain recognition and respect?
1116,74,8,"They said in their hearts, Let us destroy them together: they have burned up all the synagogues of God in the land.",What are the consequences of destruction on cultural heritage?
1117,74,9,We see not our signs: there is no more any prophet: neither is there among us any that knoweth how long.,What motivates groups to destroy shared symbols of identity?
1118,74,10,"O God, how long shall the adversary reproach? shall the enemy blaspheme thy name for ever?",What happens when people feel a lack of guidance or prophetic insight?
1119,74,11,"Why withdrawest thou thy hand, even thy right hand? pluck it out of thy bosom.",How do we deal with feelings of reproach or criticism from external forces?
1120,74,12,"For God is my King of old, working salvation in the midst of the earth.",What can we learn about the persistence of memory in the face of adversity?
1121,74,13,Thou didst divide the sea by thy strength: thou brakest the heads of the dragons in the waters.,How does justice manifest in times of turmoil?
1122,74,14,"Thou brakest the heads of leviathan in pieces, and gavest him to be meat to the people inhabiting the wilderness.",What is the relationship between divine authority and earthly power dynamics?
1123,74,15,Thou didst cleave the fountain and the flood: thou driedst up mighty rivers.,How do we interpret divine judgment in the context of human actions?
1124,74,16,"The day is thine, the night also is thine: thou hast prepared the light and the sun.",What is the importance of gratitude in overcoming challenges?
1125,74,17,Thou hast set all the borders of the earth: thou hast made summer and winter.,How can personal experiences of distress lead to spiritual reflection?
1126,74,18,"Remember this, that the enemy hath reproached, O LORD, and that the foolish people have blasphemed thy name.",How does remembrance influence our understanding of current challenges?
1127,74,19,O deliver not the soul of thy turtledove unto the multitude of the wicked: forget not the congregation of thy poor for ever.,What insights can we gain from considering past generations?
1128,74,20,Have respect unto the covenant: for the dark places of the earth are full of the habitations of cruelty.,How does faith influence our understanding of personal and communal struggles?
1129,74,21,O let not the oppressed return ashamed: let the poor and needy praise thy name.,What role do memories of past wonders play in shaping our current perspective?
1130,74,22,"Arise, O God, plead thine own cause: remember how the foolish man reproacheth thee daily.",How do we understand the mysteries of life and nature?
1131,74,23,Forget not the voice of thine enemies: the tumult of those that rise up against thee increaseth continually.,What does leadership look like in times of uncertainty?
1200,78,27,"He rained flesh also upon them as dust, and feathered fowls like as the sand of the sea:",What are the consequences of succumbing to desires and ignoring warnings?
1205,78,32,"For all this they sinned still, and believed not for his wondrous works.",How does the behavior of a community influence its downfall?
1212,78,39,"For he remembered that they were but flesh; a wind that passeth away, and cometh not again.",What factors can lead to a community feeling abandoned or reproached?
1223,78,50,"He made a way to his anger; he spared not their soul from death, but gave their life over to the pestilence;",What role does divine intervention play in overcoming challenges faced by a community?
1229,78,56,"Yet they tempted and provoked the most high God, and kept not his testimonies:",What are the impacts of societal strife on individual communities?
1231,78,58,"For they provoked him to anger with their high places, and moved him to jealousy with their graven images.",What can be learned from the metaphor of a vine regarding growth and challenges?
1300,82,7,"But ye shall die like men, and fall like one of the princes.",What is the significance of mortality in the context of divine judgment?
1301,82,8,"Arise, O God, judge the earth: for thou shalt inherit all nations.",How does divine judgment relate to the authority over nations?
1322,84,3,"Yea, the sparrow hath found an house, and the swallow a nest for herself, where she may lay her young, even thine altars, O LORD of hosts, my King, and my God.",How does longing for a spiritual connection impact one’s sense of belonging?
1326,84,7,"They go from strength to strength, every one of them in Zion appeareth before God.",What role does the concept of community play in spiritual fulfillment?
1327,84,8,"O LORD God of hosts, hear my prayer: give ear, O God of Jacob. Selah.",In what ways can personal strength be derived from faith?
1331,84,12,"O LORD of hosts, blessed is the man that trusteth in thee.",What does spiritual strength represent in times of adversity?
1352,86,8,"Among the gods there is none like unto thee, O Lord; neither are there any works like unto thy works.",What does forgiveness symbolize in personal and communal contexts?
1372,88,4,I am counted with them that go down into the pit: I am as a man that hath no strength:,In what ways can gratitude be expressed in difficult situations?
1377,88,9,"Mine eye mourneth by reason of affliction: LORD, I have called daily upon thee, I have stretched out my hands unto thee.",What is the relationship between prayer and personal strength during hardships?
1380,88,12,Shall thy wonders be known in the dark? and thy righteousness in the land of forgetfulness?,How does the presence of doubt challenge faith in times of struggle?
1388,89,2,"For I have said, Mercy shall be built up for ever: thy faithfulness shalt thou establish in the very heavens.",How do the concepts of pride and humility interact within spiritual frameworks?
1396,89,10,"Thou hast broken Rahab in pieces, as one that is slain; thou hast scattered thine enemies with thy strong arm.",What does compassion reveal about the nature of leadership?
1400,89,14,Justice and judgment are the habitation of thy throne: mercy and truth shall go before thy face.,What principles govern the balance between justice and mercy?
1401,89,15,"Blessed is the people that know the joyful sound: they shall walk, O LORD, in the light of thy countenance.",What does it mean to walk in the light of joy and truth?
1402,89,16,In thy name shall they rejoice all the day: and in thy righteousness shall they be exalted.,How does one's strength and joy relate to their beliefs?
1403,89,17,For thou art the glory of their strength: and in thy favour our horn shall be exalted.,What role does divine favor play in personal empowerment?
1404,89,18,For the LORD is our defence; and the Holy One of Israel is our king.,How does faith in a higher power provide a sense of security and defense?
1405,89,19,"Then thou spakest in vision to thy holy one, and saidst, I have laid help upon one that is mighty; I have exalted one chosen out of the people.",What does it mean to be chosen or anointed for a significant purpose?
1406,89,20,I have found David my servant; with my holy oil have I anointed him:,How can a leader's strength impact their followers and community?
1407,89,21,With whom my hand shall be established: mine arm also shall strengthen him.,What are the implications of being protected from adversaries?
1408,89,22,The enemy shall not exact upon him; nor the son of wickedness afflict him.,How does loyalty and love influence the strength of leadership?
1412,89,26,"He shall cry unto me, Thou art my father, my God, and the rock of my salvation.",What does it mean to have enduring legacy and influence?
1418,89,32,"Then will I visit their transgression with the rod, and their iniquity with stripes.",How should one respond to feelings of abandonment or loss?
1419,89,33,"Nevertheless my lovingkindness will I not utterly take from him, nor suffer my faithfulness to fail.",What does mortality teach us about the value of life?
1421,89,35,Once have I sworn by my holiness that I will not lie unto David.,How can we reconcile our experiences of reproach with our beliefs?
1442,90,4,"For a thousand years in thy sight are but as yesterday when it is past, and as a watch in the night.",How can the experience of despair lead to a deeper understanding of hope?
1450,90,12,"So teach us to number our days, that we may apply our hearts unto wisdom.",How does recognizing the passage of time shape our perspectives on life?
1453,90,15,"Make us glad according to the days wherein thou hast afflicted us, and the years wherein we have seen evil.",What is the importance of seeking wisdom in how we use our time?
1455,90,17,"And let the beauty of the LORD our God be upon us: and establish thou the work of our hands upon us; yea, the work of our hands establish thou it.",How can adversity shape our appreciation for joy and mercy?
1456,91,1,He that dwelleth in the secret place of the most High shall abide under the shadow of the Almighty.,What does it mean to seek shelter and security in times of trouble?
1457,91,2,"I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust.",How does trust in a higher power manifest in daily life?
1458,91,3,"Surely he shall deliver thee from the snare of the fowler, and from the noisome pestilence.",How can faith act as a protective force against various dangers?
1460,91,5,Thou shalt not be afraid for the terror by night; nor for the arrow that flieth by day;,What are the psychological effects of living in fear versus faith?
1463,91,8,Only with thine eyes shalt thou behold and see the reward of the wicked.,How does personal faith influence one's experiences of danger?
1465,91,10,"There shall no evil befall thee, neither shall any plague come nigh thy dwelling.",What motivates individuals to seek divine help in times of trouble?
1472,92,1,"IT IS A GOOD THING TO GIVE THANKS UNTO THE LORD, AND TO SING PRAISES UNTO THY NAME, O MOST HIGH:",Why is gratitude an essential part of a fulfilling life?
1473,92,2,"To shew forth thy lovingkindness in the morning, and thy faithfulness every night,",How does recognizing and expressing gratitude influence our mindset?
1475,92,4,"For thou, LORD, hast made me glad through thy work: I will triumph in the works of thy hands.",What impact do one’s thoughts and intentions have on their happiness?
1477,92,6,A brutish man knoweth not; neither doth a fool understand this.,How does the acknowledgment of deep thoughts contribute to understanding the world?
1479,92,8,"But thou, LORD, art most high for evermore.",How does one find hope and resilience in the face of adversity?
1492,94,1,"O Lord God, to whom vengeance belongeth; O God, to whom vengeance belongeth, shew thyself.",What does the ability to hear and see imply about the nature of creation?
1494,94,3,"LORD, how long shall the wicked, how long shall the wicked triumph?",What does the knowledge of human thoughts reveal about human nature?
1495,94,4,How long shall they utter and speak hard things? and all the workers of iniquity boast themselves?,What benefits come from being taught and guided through law?
1497,94,6,"They slay the widow and the stranger, and murder the fatherless.",What does it mean to not forsake one's people?
1498,94,7,"Yet they say, The LORD shall not see, neither shall the God of Jacob regard it.",What role does judgment play in establishing righteousness?
1500,94,9,"He that planted the ear, shall he not hear? he that formed the eye, shall he not see?",How does external help influence personal struggles?
1502,94,11,"The LORD knoweth the thoughts of man, that they are vanity.",How do thoughts impact one's emotional state?
1505,94,14,"For the LORD will not cast off his people, neither will he forsake his inheritance.",How can faith serve as a source of defense?
1506,94,15,But judgment shall return unto righteousness: and all the upright in heart shall follow it.,What consequences do actions have for the wicked?
1515,95,1,"O come, let us sing unto the LORD: let us make a joyful noise to the rock of our salvation.",What significance does communal worship hold?
1520,95,6,"O come, let us worship and bow down: let us kneel before the LORD our maker.",How can gratitude shape our perspective on life?
1528,96,3,"Declare his glory among the heathen, his wonders among all people.",What role does expression of joy play in sharing beliefs?
1529,96,4,"For the LORD is great, and greatly to be praised: he is to be feared above all gods.",How can we appreciate the beauty of nature in relation to creation?
1531,96,6,Honour and majesty are before him: strength and beauty are in his sanctuary.,What is the importance of acknowledging greatness in the world?
1539,97,1,The LORD reigneth; let the earth rejoice; let the multitude of isles be glad thereof.,How does the concept of divine judgment influence our actions?
1548,97,10,"Ye that love the LORD, hate evil: he preserveth the souls of his saints; he delivereth them out of the hand of the wicked.",What does it mean to love what is good?
1551,98,1,"O sing unto the LORD a new song; for he hath done marvellous things: his right hand, and his holy arm, hath gotten him the victory.",How does celebrating victories inspire community?
1553,98,3,He hath remembered his mercy and his truth toward the house of Israel: all the ends of the earth have seen the salvation of our God.,What significance does sharing stories of success have on society?
1560,99,1,The LORD reigneth; let the people tremble: he sitteth between the cherubims; let the earth be moved.,What does reverence look like in our lives?
1568,99,9,"Exalt the LORD our God, and worship at his holy hill; for the LORD our God is holy.",How can we strive for justice and righteousness in our communities?
1569,100,1,"Make a joyful noise unto the LORD, all ye lands.",What role does joy play in our approach to life?
1573,100,5,For the LORD is good; his mercy is everlasting; and his truth endureth to all generations.,How does understanding goodness shape our interactions with others?
1575,101,2,I will behave myself wisely in a perfect way. O when wilt thou come unto me? I will walk within my house with a perfect heart.,What does wisdom look like in our daily choices?
1576,101,3,I will set no wicked thing before mine eyes: I hate the work of them that turn aside; it shall not cleave to me.,How do our values influence our perspectives on morality?
1579,101,6,"Mine eyes shall be upon the faithful of the land, that they may dwell with me: he that walketh in a perfect way, he shall serve me.",What are the implications of deceit in personal relationships?
1600,102,19,For he hath looked down from the height of his sanctuary; from heaven did the LORD behold the earth;,What might be the importance of realizing that our lives are being observed from a higher perspective?
1601,102,20,To hear the groaning of the prisoner; to loose those that are appointed to death;,What can the groaning of prisoners and the release of those condemned to death teach us about justice and mercy?
1604,102,23,He weakened my strength in the way; he shortened my days.,How does a community coming together to serve a higher purpose reflect the strength of collective action?
1606,102,25,Of old hast thou laid the foundation of the earth: and the heavens are the work of thy hands.,What wisdom can we gain from contemplating the enduring nature of the foundations of the earth and the heavens?
1607,102,26,"They shall perish, but thou shalt endure: yea, all of them shall wax old like a garment; as a vesture shalt thou change them, and they shall be changed:",How does recognizing the impermanence of all things shape our understanding of change and resilience?
1611,103,2,"Bless the LORD, O my soul, and forget not all his benefits:",Why is it vital to remember the positive things in life?
1614,103,5,Who satisfieth thy mouth with good things; so that thy youth is renewed like the eagle's.,How does the concept of being renewed like an eagle's youth inspire hope or personal rejuvenation?
1615,103,6,The LORD executeth righteousness and judgment for all that are oppressed.,"Why is it important to uphold justice for the oppressed, and what lessons can we draw from that?"
1617,103,8,"The LORD is merciful and gracious, slow to anger, and plenteous in mercy.",What does being slow to anger and abundant in mercy teach us about handling difficult situations?
1623,103,14,For he knoweth our frame; he remembereth that we are dust.,"Why is it important to remember that humans are fragile, like dust?"
1624,103,15,"As for man, his days are as grass: as a flower of the field, so he flourisheth.","How does understanding the fleeting nature of life, like grass or flowers, affect how we value our time?"
1626,103,17,"But the mercy of the LORD is from everlasting to everlasting upon them that fear him, and his righteousness unto children's children;",What is the significance of the idea that mercy can endure from generation to generation?
1628,103,19,The LORD hath prepared his throne in the heavens; and his kingdom ruleth over all.,"What wisdom can be drawn from reflecting on the idea that the kingdom is beyond us, established over all?"
1633,104,2,Who coverest thyself with light as with a garment: who stretchest out the heavens like a curtain:,What does covering oneself with light symbolize in terms of self-awareness or wisdom?
1636,104,5,"Who laid the foundations of the earth, that it should not be removed for ever.",What can we learn from the idea that some things are built to last forever?
1641,104,10,"He sendeth the springs into the valleys, which run among the hills.",How does the image of springs running among the hills symbolize the interconnectedness of life?
1645,104,14,"He causeth the grass to grow for the cattle, and herb for the service of man: that he may bring forth food out of the earth;",What does the earth providing food for all creatures reveal about the balance of nature and our role in it?
1650,104,19,He appointed the moon for seasons: the sun knoweth his going down.,How does the moon’s role in marking seasons reflect the rhythms and cycles that govern life?
1654,104,23,Man goeth forth unto his work and to his labour until the evening.,What can the daily rhythm of work and rest teach us about maintaining balance in life?
1655,104,24,"O LORD, how manifold are thy works! in wisdom hast thou made them all: the earth is full of thy riches.",How does the diversity and complexity of nature reveal deeper insights into life’s richness?
1661,104,30,"Thou sendest forth thy spirit, they are created: and thou renewest the face of the earth.",What can the idea of renewal of the earth teach us about cycles of life and personal renewal?
1670,105,4,"Seek the LORD, and his strength: seek his face evermore.",What value can be found in seeking strength and clarity throughout life?
1671,105,5,"Remember his marvellous works that he hath done; his wonders, and the judgments of his mouth;",Why is it important to remember the significant events and decisions that have shaped us?
1674,105,8,"He hath remembered his covenant for ever, the word which he commanded to a thousand generations.",What can we learn from the idea of a promise lasting for a thousand generations?
1684,105,18,Whose feet they hurt with fetters: he was laid in iron:,What insights can be drawn from Joseph's endurance of suffering and eventual freedom?
1687,105,21,"He made him lord of his house, and ruler of all his substance:",What can Joseph’s rise to power after a time of hardship teach us about resilience and opportunity?
1700,105,34,"He spake, and the locusts came, and caterpillers, and that without number,",What can the arrival of locusts and caterpillars teach us about the consequences of environmental disasters?
1703,105,37,He brought them forth also with silver and gold: and there was not one feeble person among their tribes.,How might a community thrive when supported by shared wealth and resources?
1707,105,41,"He opened the rock, and the waters gushed out; they ran in the dry places like a river.",What can the image of water gushing from a rock symbolize about unexpected sources of help or survival?
1710,105,44,And gave them the lands of the heathen: and they inherited the labour of the people;,How does inheriting land and resources encourage people to observe rules or laws for sustainable living?
1714,106,3,"Blessed are they that keep judgment, and he that doeth righteousness at all times.",Why is it important for a person to strive to do what is right at all times?
1718,106,7,"Our fathers understood not thy wonders in Egypt; they remembered not the multitude of thy mercies; but provoked him at the sea, even at the Red sea.",What lessons can we learn from the idea that people often forget the help they've received during difficult times?
1724,106,13,They soon forgat his works; they waited not for his counsel:,What are the potential consequences of acting impulsively without seeking guidance?
1725,106,14,"But lusted exceedingly in the wilderness, and tempted God in the desert.",How might the fulfillment of a desire sometimes lead to inner dissatisfaction?
1730,106,19,"They made a calf in Horeb, and worshipped the molten image.",What can the worship of a golden calf teach us about the dangers of materialism and losing sight of greater values?
1740,106,29,Thus they provoked him to anger with their inventions: and the plague brake in upon them.,"What are the risks of following harmful practices or beliefs, as seen in the sacrifices to false idols?"
1751,106,40,"Therefore was the wrath of the LORD kindled against his people, insomuch that he abhorred his own inheritance.",What are the potential consequences when a group or nation turns away from their core principles?
1765,107,6,"Then they cried unto the LORD in their trouble, and he delivered them out of their distresses.",What can we learn from those who cry out for help in times of desperation?
1768,107,9,"For he satisfieth the longing soul, and filleth the hungry soul with goodness.",How does providing for the needs of a longing or hungry soul relate to personal fulfillment?
1773,107,14,"He brought them out of darkness and the shadow of death, and brake their bands in sunder.",What does being brought out of darkness symbolize in terms of overcoming adversity or despair?
1776,107,17,"Fools because of their transgression, and because of their iniquities, are afflicted.",What can be learned from the connection between personal choices and the suffering that follows?
1782,107,23,"They that go down to the sea in ships, that do business in great waters;",How does the experience of those who do business at sea reflect the unpredictability of life?
1788,107,29,"He maketh the storm a calm, so that the waves thereof are still.",What insights can we draw from the calming of a storm after a period of turmoil?
1794,107,35,"He turneth the wilderness into a standing water, and dry ground into watersprings.",What can the transformation of barren land into fertile ground teach us about renewal and growth?
1800,107,41,"Yet setteth he the poor on high from affliction, and maketh him families like a flock.",What might a person experience after enduring affliction?
1801,107,42,"The righteous shall see it, and rejoice: and all iniquity shall stop her mouth.",How would righteous people react to the downfall of iniquity?
1802,107,43,"Whoso is wise, and will observe these things, even they shall understand the lovingkindness of the LORD.",What can people gain from observing life's events with wisdom?
1803,108,1,"O god, my heart is fixed; I will sing and give praise, even with my glory.",What does someone with a steadfast heart express through praise?
1804,108,2,"Awake, psaltery and harp: I myself will awake early.",What would motivate a person to wake up early with musical instruments?
1805,108,3,"I will praise thee, O LORD, among the people: and I will sing praises unto thee among the nations.",Why would someone praise the Lord publicly?
1806,108,4,For thy mercy is great above the heavens: and thy truth reacheth unto the clouds.,How is God's mercy and truth described?
1807,108,5,"Be thou exalted, O God, above the heavens: and thy glory above all the earth;",What desire does a person express for God's exaltation?
1808,108,6,"That thy beloved may be delivered: save with thy right hand, and answer me.",What request is made for deliverance and divine intervention?
1814,108,12,Give us help from trouble: for vain is the help of man.,Why does a person feel that human help is insufficient in times of trouble?
1815,108,13,Through God we shall do valiantly: for he it is that shall tread down our enemies.,What does a person attribute victory to?
1816,109,1,"Hold not thy peace, O God of my praise;",What is a common plea when facing false accusations and deceit?
1818,109,3,They compassed me about also with words of hatred; and fought against me without a cause.,How does a person respond to adversaries despite being hated without cause?
1831,109,16,"Because that he remembered not to shew mercy, but persecuted the poor and needy man, that he might even slay the broken in heart.",Why might someone face severe consequences for persecuting the poor and broken-hearted?
1836,109,21,"But do thou for me, O GOD the Lord, for thy name's sake: because thy mercy is good, deliver thou me.",What plea is made to God when someone feels wounded and needy?
1837,109,22,"For I am poor and needy, and my heart is wounded within me.",What might a person feel when they describe themselves as both poor and wounded?
1838,109,23,I am gone like the shadow when it declineth: I am tossed up and down as the locust.,How does a person describe the fleeting nature of their life?
1839,109,24,My knees are weak through fasting; and my flesh faileth of fatness.,What physical effects might someone experience from fasting and hardship?
1841,109,26,"Help me, O LORD my God: O save me according to thy mercy:",Why does someone appeal for God's help when feeling vulnerable?
1842,109,27,"That they may know that this is thy hand; that thou, LORD, hast done it.","What is the purpose of divine intervention, according to a person seeking deliverance?"
1843,109,28,"Let them curse, but bless thou: when they arise, let them be ashamed; but let thy servant rejoice.",How does a person reconcile being cursed by others yet seeking blessings from God?
1845,109,30,"I will greatly praise the LORD with my mouth; yea, I will praise him among the multitude.",How does a person express gratitude to God publicly?
1846,109,31,"For he shall stand at the right hand of the poor, to save him from those that condemn his soul.","In what way does God stand with the poor, according to someone in need?"
1847,110,1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool.",What promise does God make about the defeat of enemies?
1850,110,4,"The LORD hath sworn, and will not repent, Thou art a priest for ever after the order of Melchizedek.",What significance is given to a priestly order that lasts forever?
1855,111,2,"The works of the LORD are great, sought out of all them that have pleasure therein.",How do people perceive the works of the Lord?
1857,111,4,He hath made his wonderful works to be remembered: the LORD is gracious and full of compassion.,What qualities does the Lord show through His works?
1862,111,9,He sent redemption unto his people: he hath commanded his covenant for ever: holy and reverend is his name.,What does God provide through His covenant with His people?
1863,111,10,The fear of the LORD is the beginning of wisdom: a good understanding have all they that do his commandments: his praise endureth for ever.,How is the fear of the Lord related to wisdom?
1864,112,1,"Praise ye the LORD. Blessed is the man that feareth the LORD, that delighteth greatly in his commandments.",What are the characteristics of someone who delights in God's commandments?
1867,112,4,"Unto the upright there ariseth light in the darkness: he is gracious, and full of compassion, and righteous.",How is an upright person described in times of darkness?
1870,112,7,"He shall not be afraid of evil tidings: his heart is fixed, trusting in the LORD.",Why is a righteous person not afraid of bad news?
1872,112,9,"He hath dispersed, he hath given to the poor; his righteousness endureth for ever; his horn shall be exalted with honour.",How is generosity towards the poor viewed in relation to righteousness?
1876,113,3,From the rising of the sun unto the going down of the same the LORD's name is to be praised.,When is the name of the Lord to be praised?
1878,113,5,"Who is like unto the LORD our God, who dwelleth on high,",What makes the Lord unique in His high position?
1880,113,7,"He raiseth up the poor out of the dust, and lifteth the needy out of the dunghill;",How does God elevate the poor and the needy?
1882,113,9,"He maketh the barren woman to keep house, and to be a joyful mother of children. Praise ye the LORD.",What does God do for a barren woman?
1887,114,5,"What ailed thee, O thou sea, that thou fleddest? thou Jordan, that thou wast driven back?",What causes natural elements like the sea and river to react so dramatically?
1889,114,7,"Tremble, thou earth, at the presence of the Lord, at the presence of the God of Jacob;",What effect does God's presence have on the earth?
1891,115,1,"Not unto us, O LORD, not unto us, but unto thy name give glory, for thy mercy, and for thy truth's sake.",What reason does a person give for glorifying God's name instead of their own?
1892,115,2,"Wherefore should the heathen say, Where is now their God?",What question might be asked by those who doubt God's presence?
1894,115,4,"Their idols are silver and gold, the work of men's hands.",What are idols made of according to someone who critiques them?
1895,115,5,"They have mouths, but they speak not: eyes have they, but they see not:","Why are idols viewed as powerless, based on their inability to speak or see?"
1898,115,8,They that make them are like unto them; so is every one that trusteth in them.,How does a person compare those who make and trust in idols to the idols themselves?
1899,115,9,"O Israel, trust thou in the LORD: he is their help and their shield.",Why does Israel trust in the Lord?
1911,116,3,"The sorrows of death compassed me, and the pains of hell gat hold upon me: I found trouble and sorrow.",What emotions surrounded me when I faced danger?
1914,116,6,"The LORD preserveth the simple: I was brought low, and he helped me.",Who does the Lord assist when they are in trouble?
1916,116,8,"For thou hast delivered my soul from death, mine eyes from tears, and my feet from falling.",What has been delivered from death and sorrow?
1919,116,11,"I said in my haste, All men are liars.",What did I say in a moment of frustration about other people?
1935,118,6,The LORD is on my side; I will not fear: what can man do unto me?,Why should I not be afraid of others?
1937,118,8,It is better to trust in the LORD than to put confidence in man.,Is it better to rely on people or something greater?
1939,118,10,All nations compassed me about: but in the name of the LORD will I destroy them.,Is trusting in authority figures less reliable than trusting in something higher?
1942,118,13,Thou hast thrust sore at me that I might fall: but the LORD helped me.,What did I do after being attacked but helped?
1951,118,22,The stone which the builders refused is become the head stone of the corner.,What significance does the rejected stone hold?
1953,118,24,This is the day which the LORD hath made; we will rejoice and be glad in it.,"Why is this day special, and what should my attitude be?"
1959,119,1,"Blessed are the undefiled in the way, who walk in the law of the LORD.",What kind of people are considered fortunate in their actions?
1960,119,2,"Blessed are they that keep his testimonies, and that seek him with the whole heart.",What does seeking with full dedication result in?
1967,119,9,Wherewithal shall a young man cleanse his way? by taking heed thereto according to thy word.,How can a young person keep their path free of mistakes?
1969,119,11,"Thy word have I hid in mine heart, that I might not sin against thee.",Why is it important to hold onto certain teachings?
1976,119,18,"Open thou mine eyes, that I may behold wondrous things out of thy law.",What do I want to discover by gaining clarity?
1986,119,28,My soul melteth for heaviness: strengthen thou me according unto thy word.,"What emotion is weighing heavily on me, and what do I need?"
